,CHEMBL4082699,CHEMBL4225966,CHEMBL1972346,CHEMBL4648955,CHEMBL1998159,CHEMBL1971943,CHEMBL2002471,CHEMBL1978371,CHEMBL4097778,CHEMBL1991734,CHEMBL1988581,CHEMBL1973359,CHEMBL3800399,CHEMBL3828084,CHEMBL4791276,CHEMBL1983715,CHEMBL1983980,CHEMBL296468,CHEMBL3361254,CHEMBL1997275,CHEMBL1996576,CHEMBL2004025,CHEMBL4777657,CHEMBL1992042,CHEMBL4855789,P162-0948,CHEMBL5187943,CHEMBL225519,CHEMBL4104223,CHEMBL1970340,CHEMBL1977749
CHEMBL3800399,0.08421052631578947,0.08333333333333333,0.06097560975609756,0.14705882352941177,0.12727272727272726,0.09259259259259259,0.12359550561797752,0.0891089108910891,0.14545454545454545,0.12048192771084337,0.0967741935483871,0.0594059405940594,1.0,0.15,0.14583333333333334,0.0990990990990991,0.11864406779661017,0.09433962264150944,0.11818181818181818,0.12371134020618557,0.11926605504587157,0.1134020618556701,0.13157894736842105,0.06896551724137931,0.06060606060606061,0.09345794392523364,0.11428571428571428,0.12790697674418605,0.11224489795918367,0.08888888888888889,0.06060606060606061
CHEMBL3828084,0.07317073170731707,0.1125,0.058823529411764705,0.07368421052631578,0.10101010101010101,0.09574468085106383,0.1038961038961039,0.09195402298850575,0.12121212121212122,0.11428571428571428,0.11538461538461539,0.13580246913580246,0.15,1.0,0.15853658536585366,0.15053763440860216,0.13592233009708737,0.12222222222222222,0.1134020618556701,0.08045977011494253,0.12631578947368421,0.10714285714285714,0.11764705882352941,0.10101010101010101,0.07142857142857142,0.12087912087912088,0.12087912087912088,0.10810810810810811,0.13253012048192772,0.136986301369863,0.07142857142857142
CHEMBL4791276,0.0641025641025641,0.05,0.08064516129032258,0.11494252873563218,0.10638297872340426,0.10112359550561797,0.1111111111111111,0.08433734939759036,0.10416666666666667,0.10606060606060606,0.1388888888888889,0.16,0.14583333333333334,0.15853658536585366,1.0,0.14606741573033707,0.12,0.12941176470588237,0.11956521739130435,0.09876543209876543,0.0967741935483871,0.14285714285714285,0.1595744680851064,0.07216494845360824,0.08974358974358974,0.12790697674418605,0.11494252873563218,0.14925373134328357,0.12658227848101267,0.13043478260869565,0.08974358974358974
CHEMBL1983715,0.09195402298850575,0.10344827586206896,0.05333333333333334,0.04807692307692308,0.09433962264150944,0.14583333333333334,0.06976744186046512,0.0851063829787234,0.102803738317757,0.0625,0.13253012048192772,0.11235955056179775,0.0990990990990991,0.15053763440860216,0.14606741573033707,1.0,0.18095238095238095,0.14893617021276595,0.13861386138613863,0.052083333333333336,0.10679611650485436,0.13636363636363635,0.14150943396226415,0.09433962264150944,0.11494252873563218,0.12371134020618557,0.11224489795918367,0.09876543209876543,0.12222222222222222,0.058823529411764705,0.05434782608695652
CHEMBL1983980,0.10526315789473684,0.09278350515463918,0.047058823529411764,0.043859649122807015,0.09565217391304348,0.05263157894736842,0.07368421052631578,0.10891089108910891,0.13274336283185842,0.07954545454545454,0.09473684210526316,0.10101010101010101,0.11864406779661017,0.13592233009708737,0.12,0.18095238095238095,1.0,0.1346153846153846,0.11607142857142858,0.05714285714285714,0.1588785046728972,0.1111111111111111,0.09166666666666666,0.125,0.11458333333333333,0.16666666666666666,0.14423076923076922,0.11235955056179775,0.11,0.08695652173913043,0.10309278350515463
CHEMBL296468,0.1125,0.0975609756097561,0.057971014492753624,0.09574468085106383,0.1,0.08333333333333333,0.08860759493670886,0.07865168539325842,0.09803921568627451,0.06756756756756757,0.1,0.09411764705882353,0.09433962264150944,0.12222222222222222,0.12941176470588237,0.14893617021276595,0.1346153846153846,1.0,0.1595744680851064,0.06741573033707865,0.1134020618556701,0.11904761904761904,0.11650485436893204,0.12244897959183673,0.0963855421686747,0.15730337078651685,0.15730337078651685,0.10666666666666667,0.15853658536585366,0.07692307692307693,0.08333333333333333
CHEMBL3361254,0.09090909090909091,0.07777777777777778,0.05263157894736842,0.0784313725490196,0.08333333333333333,0.08823529411764706,0.08139534883720931,0.08421052631578947,0.11214953271028037,0.06172839506172839,0.07954545454545454,0.1111111111111111,0.11818181818181818,0.1134020618556701,0.11956521739130435,0.13861386138613863,0.11607142857142858,0.1595744680851064,1.0,0.05154639175257732,0.12745098039215685,0.08602150537634409,0.10909090909090909,0.08333333333333333,0.053763440860215055,0.1111111111111111,0.0891089108910891,0.08433734939759036,0.10869565217391304,0.08333333333333333,0.053763440860215055
CHEMBL1997275,0.05128205128205128,0.0375,0.1,0.07865168539325842,0.13186813186813187,0.10227272727272728,0.12857142857142856,0.09876543209876543,0.09375,0.1076923076923077,0.0945945945945946,0.06172839506172839,0.12371134020618557,0.08045977011494253,0.09876543209876543,0.052083333333333336,0.05714285714285714,0.06741573033707865,0.05154639175257732,1.0,0.14772727272727273,0.12987012987012986,0.10204081632653061,0.10752688172043011,0.10526315789473684,0.07865168539325842,0.09090909090909091,0.13432835820895522,0.07317073170731707,0.1,0.10526315789473684
CHEMBL1996576,0.06741573033707865,0.10344827586206896,0.06756756756756757,0.05825242718446602,0.13725490196078433,0.057692307692307696,0.08235294117647059,0.10869565217391304,0.102803738317757,0.0759493670886076,0.08045977011494253,0.07608695652173914,0.11926605504587157,0.12631578947368421,0.0967741935483871,0.10679611650485436,0.1588785046728972,0.1134020618556701,0.12745098039215685,0.14772727272727273,1.0,0.1111111111111111,0.1308411214953271,0.1262135922330097,0.10227272727272728,0.13541666666666666,0.11224489795918367,0.1125,0.12222222222222222,0.058823529411764705,0.11494252873563218
CHEMBL2004025,0.05194805194805195,0.025,0.1206896551724138,0.06741573033707865,0.10869565217391304,0.12941176470588237,0.08333333333333333,0.08641975308641975,0.09473684210526316,0.09230769230769231,0.1111111111111111,0.0759493670886076,0.1134020618556701,0.10714285714285714,0.14285714285714285,0.13636363636363635,0.1111111111111111,0.11904761904761904,0.08602150537634409,0.12987012987012986,0.1111111111111111,1.0,0.13829787234042554,0.13333333333333333,0.10666666666666667,0.14457831325301204,0.14457831325301204,0.10294117647058823,0.11538461538461539,0.13432835820895522,0.12162162162162163
CHEMBL4777657,0.030303030303030304,0.03,0.075,0.07407407407407407,0.11818181818181818,0.14705882352941177,0.1,0.12371134020618557,0.11607142857142858,0.12195121951219512,0.10989010989010989,0.10416666666666667,0.13157894736842105,0.11764705882352941,0.1595744680851064,0.14150943396226415,0.09166666666666666,0.11650485436893204,0.10909090909090909,0.10204081632653061,0.1308411214953271,0.13829787234042554,1.0,0.11818181818181818,0.10638297872340426,0.16,0.1262135922330097,0.10344827586206896,0.1134020618556701,0.1411764705882353,0.07216494845360824
CHEMBL1992042,0.05434782608695652,0.0425531914893617,0.06578947368421052,0.07766990291262135,0.09259259259259259,0.09803921568627451,0.056179775280898875,0.13043478260869565,0.08108108108108109,0.11538461538461539,0.07865168539325842,0.09782608695652174,0.06896551724137931,0.10101010101010101,0.07216494845360824,0.09433962264150944,0.125,0.12244897959183673,0.08333333333333333,0.10752688172043011,0.1262135922330097,0.13333333333333333,0.11818181818181818,1.0,0.08791208791208792,0.18085106382978725,0.15625,0.08333333333333333,0.10752688172043011,0.09523809523809523,0.125
CHEMBL4855789,0.09859154929577464,0.039473684210526314,0.06896551724137931,0.05747126436781609,0.125,0.12048192771084337,0.08695652173913043,0.13333333333333333,0.07446808510638298,0.11475409836065574,0.08450704225352113,0.05128205128205128,0.06060606060606061,0.07142857142857142,0.08974358974358974,0.11494252873563218,0.11458333333333333,0.0963855421686747,0.053763440860215055,0.10526315789473684,0.10227272727272728,0.10666666666666667,0.10638297872340426,0.08791208791208792,1.0,0.19480519480519481,0.16455696202531644,0.1076923076923077,0.12,0.08955223880597014,0.1267605633802817
P162-0948,0.046511627906976744,0.03409090909090909,0.07246376811594203,0.050505050505050504,0.12121212121212122,0.12903225806451613,0.07407407407407407,0.10227272727272728,0.0761904761904762,0.06666666666666667,0.1125,0.13253012048192772,0.09345794392523364,0.12087912087912088,0.12790697674418605,0.12371134020618557,0.16666666666666666,0.15730337078651685,0.1111111111111111,0.07865168539325842,0.13541666666666666,0.14457831325301204,0.16,0.18085106382978725,0.19480519480519481,1.0,0.2235294117647059,0.10526315789473684,0.14285714285714285,0.13333333333333333,0.13580246913580246
CHEMBL5187943,0.058823529411764705,0.04597701149425287,0.07246376811594203,0.061224489795918366,0.16842105263157894,0.14130434782608695,0.07407407407407407,0.10227272727272728,0.0660377358490566,0.06666666666666667,0.14102564102564102,0.10588235294117647,0.11428571428571428,0.12087912087912088,0.11494252873563218,0.11224489795918367,0.14423076923076922,0.15730337078651685,0.0891089108910891,0.09090909090909091,0.11224489795918367,0.14457831325301204,0.1262135922330097,0.15625,0.16455696202531644,0.2235294117647059,1.0,0.10526315789473684,0.1566265060240964,0.14864864864864866,0.12195121951219512
CHEMBL225519,0.07692307692307693,0.09230769230769231,0.08,0.09090909090909091,0.12345679012345678,0.1038961038961039,0.09836065573770492,0.1,0.09411764705882353,0.07142857142857142,0.11290322580645161,0.08823529411764706,0.12790697674418605,0.10810810810810811,0.14925373134328357,0.09876543209876543,0.11235955056179775,0.10666666666666667,0.08433734939759036,0.13432835820895522,0.1125,0.10294117647058823,0.10344827586206896,0.08333333333333333,0.1076923076923077,0.10526315789473684,0.10526315789473684,1.0,0.16923076923076924,0.1206896551724138,0.07462686567164178
CHEMBL4104223,0.07894736842105263,0.09210526315789473,0.08196721311475409,0.07865168539325842,0.11956521739130435,0.10227272727272728,0.09722222222222222,0.09876543209876543,0.10526315789473684,0.09090909090909091,0.1095890410958904,0.11688311688311688,0.11224489795918367,0.13253012048192772,0.12658227848101267,0.12222222222222222,0.11,0.15853658536585366,0.10869565217391304,0.07317073170731707,0.12222222222222222,0.11538461538461539,0.1134020618556701,0.10752688172043011,0.12,0.14285714285714285,0.1566265060240964,0.16923076923076924,1.0,0.16666666666666666,0.16666666666666666
CHEMBL1970340,0.04411764705882353,0.02857142857142857,0.14583333333333334,0.0625,0.10843373493975904,0.10256410256410256,0.11475409836065574,0.11428571428571428,0.06818181818181818,0.12962962962962962,0.1111111111111111,0.11940298507462686,0.08888888888888889,0.136986301369863,0.13043478260869565,0.058823529411764705,0.08695652173913043,0.07692307692307693,0.08333333333333333,0.1,0.058823529411764705,0.13432835820895522,0.1411764705882353,0.09523809523809523,0.08955223880597014,0.13333333333333333,0.14864864864864866,0.1206896551724138,0.16666666666666666,1.0,0.15873015873015872
CHEMBL1977749,0.02631578947368421,0.01282051282051282,0.10714285714285714,0.045454545454545456,0.1,0.056818181818181816,0.08695652173913043,0.13333333333333333,0.07446808510638298,0.11475409836065574,0.1,0.09333333333333334,0.06060606060606061,0.07142857142857142,0.08974358974358974,0.05434782608695652,0.10309278350515463,0.08333333333333333,0.053763440860215055,0.10526315789473684,0.11494252873563218,0.12162162162162163,0.07216494845360824,0.125,0.1267605633802817,0.13580246913580246,0.12195121951219512,0.07462686567164178,0.16666666666666666,0.15873015873015872,1.0
